"Item.","Property","Familiarity","HapticStrengthMean","AuditoryStrengthMean","OlfactoryStrengthMean","GustatoryStrengthMean","HapticStrengthSD","AuditoryStrengthSD","OlfactoryStrengthSD","GustatoryStrengthSD","DominantModality","ModalityExclusivity","BNCFrequency","BNCLogFrequency","OrthographicLength"
1,"abrasive",0.904761904761905,3.68421052631579,1.68421052631579,0.578947368421053,0.578947368421053,1.33552451531005,1.33552451531005,0.901590537370498,0.901590537370498,"Haptic",0.329608938547486,2,1.09861228866811,8
3,"aching",1,3.66666666666667,0.666666666666667,0.095238095238095,0.047619047619048,1.71269767715535,1.19721899973786,0.436435780471985,0.218217890235992,"Haptic",0.554744525547445,5,1.79175946922806,6
4,"acidic",1,1.14285714285714,0.476190476190476,2.9047619047619,4.19047619047619,1.76877681706071,0.872871560943969,1.57812426331902,1.24976188208185,"Gustatory",0.34061135371179,2,1.09861228866811,6
5,"acrid",0.380952380952381,0.625,0.375,3.5,3,1.40788595317336,1.06066017177982,1.69030850945703,1.69030850945703,"Olfactory",0.36231884057971,1,0.693147180559945,5
6,"adhesive",1,4.33333333333333,1.19047619047619,1.76190476190476,0.904761904761905,0.966091783079296,1.66189793967763,1.60949563232591,1.4108423691101,"Haptic",0.289156626506024,3,1.38629436111989,8
7,"alcoholic",0.952380952380952,0.35,0.75,4.3,4.35,0.812727700887249,1.16415770318919,0.801314709186031,1.38696943388321,"Gustatory",0.317460317460317,8,2.19722457733622,9
11,"antiseptic",1,0.9,0.142857142857143,3.95238095238095,1.76190476190476,1.3337718577107,0.478091443733757,1.32197543381829,1.92106121466136,"Olfactory",0.452232899943471,1,0.693147180559945,10
12,"aromatic",1,0.333333333333333,0.285714285714286,4.52380952380952,3.38095238095238,0.912870929175277,0.717137165600636,1.16700675315302,1.53219419383414,"Olfactory",0.43141056713524,3,1.38629436111989,8
13,"astringent",0.380952380952381,0.5,0.375,1.25,1.75,1.0690449676497,0.744023809142845,1.83225076262581,2.43486579272276,"Gustatory",0.25,0,0,10
14,"audible",1,0.285714285714286,4.95238095238095,0.047619047619048,0.047619047619048,0.560611910581388,0.218217890235994,0.218217890235992,0.218217890235992,"Auditory",0.757352941176471,3,1.38629436111989,7
15,"banging",1,1.33333333333333,4.52380952380952,0.047619047619048,0,1.23827837473378,0.749603069567329,0.218217890235992,0,"Auditory",0.50531914893617,5,1.79175946922806,7
16,"barbecued",1,1.38095238095238,1.57142857142857,4.66666666666667,4.95238095238095,1.46547570693582,1.63007449435382,0.483045891539649,0.218217890235994,"Gustatory",0.207756232686981,0,0,9
17,"barking",1,0.476190476190476,5,0.523809523809524,0.142857142857143,1.03048763306736,0,1.20909253653505,0.478091443733757,"Auditory",0.51,4,1.6094379124341,7
19,"beeping",1,0.142857142857143,4.85714285714286,0.047619047619048,0,0.478091443733757,0.654653670707977,0.218217890235992,0,"Auditory",0.75,0,0,7
20,"beery",0.904761904761905,0.894736842105263,0.631578947368421,3.52631578947368,4.26315789473684,1.19697474409935,1.11607080200484,1.26352333894953,1.09757840839418,"Gustatory",0.291139240506329,0,0,5
24,"biscuity",1,2.23809523809524,0.904761904761905,3,4.95238095238095,1.4108423691101,1.17918454470714,1.6431676725155,0.218217890235994,"Gustatory",0.277777777777778,0,0,8
25,"bitter",1,0.095238095238095,0.19047619047619,2.9047619047619,4.90476190476191,0.436435780471985,0.601585207518238,1.57812426331902,0.300792603759118,"Gustatory",0.537234042553192,25,3.25809653802148,6
27,"bland",1,0.428571428571429,0.80952380952381,3.61904761904762,4.80952380952381,0.925820099772551,1.56904581255767,1.32197543381829,0.511766315719159,"Gustatory",0.37246963562753,4,1.6094379124341,5
